bcuso4	cuso4	bcucl2	cucl2
312.859	-1.01294	317.859	-0.648331
312.908	-1.00673	317.908	-0.644971
312.957	-1.00086	317.957	-0.641657
313.006	-0.995127	318.006	-0.638380
313.055	-0.989284	318.055	-0.635135
313.104	-0.983156	318.104	-0.631921
313.152	-0.976716	318.152	-0.628741
313.201	-0.970098	318.201	-0.625602
313.250	-0.963557	318.250	-0.622509
313.299	-0.957370	318.299	-0.619467
313.348	-0.951715	318.348	-0.616476
313.397	-0.946595	318.397	-0.613536
313.446	-0.941824	318.446	-0.610642
313.495	-0.937094	318.495	-0.607790
313.543	-0.932109	318.543	-0.604973
313.592	-0.926721	318.592	-0.602187
313.641	-0.920989	318.641	-0.599428
313.690	-0.915158	318.690	-0.596701
313.739	-0.909546	318.739	-0.594012
313.788	-0.904412	318.788	-0.591369
313.837	-0.899850	318.837	-0.588776
313.886	-0.895758	318.886	-0.586233
313.935	-0.891886	318.935	-0.583733
313.983	-0.887940	318.983	-0.581270
314.032	-0.883699	319.032	-0.578837
314.081	-0.879104	319.081	-0.576436
314.130	-0.874269	319.130	-0.574074
314.179	-0.869432	319.179	-0.571763
314.228	-0.864852	319.228	-0.569511
314.277	-0.860720	319.277	-0.567315
314.326	-0.857088	319.326	-0.565162
314.374	-0.853862	319.374	-0.563033
314.423	-0.850834	319.423	-0.560910
314.472	-0.847759	319.472	-0.558791
314.521	-0.844445	319.521	-0.556688
314.570	-0.840837	319.570	-0.554629
314.619	-0.837034	319.619	-0.552649
314.668	-0.833254	319.668	-0.550769
314.717	-0.829743	319.717	-0.548995
314.765	-0.826670	319.765	-0.547310
314.814	-0.824067	319.814	-0.545685
314.863	-0.821828	319.863	-0.544085
314.912	-0.819757	319.912	-0.542484
314.961	-0.817658	319.961	-0.540873
315.010	-0.815409	320.010	-0.539262
315.059	-0.813003	320.059	-0.537679
315.108	-0.810543	320.108	-0.536156
315.156	-0.808191	320.156	-0.534727
315.205	-0.806106	320.205	-0.533412
315.254	-0.804389	320.254	-0.532214
315.303	-0.803064	320.303	-0.531119
315.352	-0.802082	320.352	-0.530102
315.401	-0.801345	320.401	-0.529135
315.450	-0.800743	320.450	-0.528200
315.499	-0.800187	320.499	-0.527295
315.547	-0.799641	320.547	-0.526431
315.596	-0.799139	320.596	-0.525625
315.645	-0.798774	320.645	-0.524892
315.694	-0.798671	320.694	-0.524240
315.743	-0.798947	320.743	-0.523671
315.792	-0.799673	320.792	-0.523191
315.841	-0.800867	320.841	-0.522813
315.890	-0.802492	320.890	-0.522555
315.938	-0.804483	320.938	-0.522432
315.987	-0.806770	320.987	-0.522449
316.036	-0.809306	321.036	-0.522590
316.085	-0.812099	321.085	-0.522832
316.134	-0.815222	321.134	-0.523154
316.183	-0.818807	321.183	-0.523551
316.232	-0.823011	321.232	-0.524040
316.281	-0.827971	321.281	-0.524657
316.329	-0.833766	321.329	-0.525440
316.378	-0.840408	321.378	-0.526420
316.427	-0.847866	321.427	-0.527608
316.476	-0.856112	321.476	-0.529007
316.525	-0.865157	321.525	-0.530610
316.574	-0.875091	321.574	-0.532418
316.623	-0.886080	321.623	-0.534440
316.672	-0.898355	321.672	-0.536694
316.720	-0.912167	321.720	-0.539208
316.769	-0.927752	321.769	-0.542008
316.818	-0.945302	321.818	-0.545123
316.867	-0.964976	321.867	-0.548579
316.916	-0.986943	321.916	-0.552406
316.965	-1.01142	321.965	-0.556637
317.014	-1.03872	322.014	-0.561309
317.063	-1.06925	322.063	-0.566464
317.111	-1.10348	322.111	-0.572147
317.160	-1.14195	322.160	-0.578410
317.209	-1.18524	322.209	-0.585315
317.258	-1.23392	322.258	-0.592937
317.307	-1.28861	322.307	-0.601360
317.356	-1.34992	322.356	-0.610678
317.405	-1.41846	322.405	-0.620983
317.454	-1.49480	322.454	-0.632375
317.502	-1.57932	322.502	-0.644965
317.551	-1.67215	322.551	-0.658889
317.600	-1.77292	322.600	-0.674314
317.649	-1.88063	322.649	-0.691435
317.698	-1.99359	322.698	-0.710478
317.747	-2.10936	322.747	-0.731694
317.796	-2.22499	322.796	-0.755366
317.845	-2.33731	322.845	-0.781813
317.893	-2.44330	322.893	-0.811390
317.942	-2.54038	322.942	-0.844494
317.991	-2.62631	322.991	-0.881558
318.040	-2.69877	323.040	-0.923052
318.089	-2.75485	323.089	-0.969477
318.138	-2.79075	323.138	-1.02135
318.187	-2.80218	323.187	-1.07918
318.236	-2.78532	323.236	-1.14341
318.284	-2.73814	323.284	-1.21432
318.333	-2.66141	323.333	-1.29197
318.382	-2.55895	323.382	-1.37600
318.431	-2.43694	323.431	-1.46555
318.480	-2.30264	323.480	-1.55917
318.529	-2.16315	323.529	-1.65480
318.578	-2.02443	323.578	-1.75000
318.627	-1.89087	323.627	-1.84216
318.675	-1.76534	323.675	-1.92891
318.724	-1.64938	323.724	-2.00824
318.773	-1.54362	323.773	-2.07846
318.822	-1.44805	323.822	-2.13785
318.871	-1.36230	323.871	-2.18412
318.920	-1.28578	323.920	-2.21426
318.969	-1.21774	323.969	-2.22477
319.018	-1.15739	324.018	-2.21250
319.066	-1.10388	324.066	-2.17566
319.115	-1.05638	324.115	-2.11471
319.164	-1.01414	324.164	-2.03257
319.213	-0.976513	324.213	-1.93414
319.262	-0.942958	324.262	-1.82524
319.311	-0.913074	324.311	-1.71167
319.360	-0.886551	324.360	-1.59836
319.409	-0.863132	324.409	-1.48905
319.457	-0.842574	324.457	-1.38621
319.506	-0.824622	324.506	-1.29127
319.555	-0.809005	324.555	-1.20480
319.604	-0.795457	324.604	-1.12679
319.653	-0.783749	324.653	-1.05686
319.702	-0.773714	324.702	-0.994427
319.751	-0.765265	324.751	-0.938825
319.800	-0.758381	324.800	-0.889364
319.848	-0.753080	324.848	-0.845390
319.897	-0.749385	324.897	-0.806312
319.946	-0.747299	324.946	-0.771599
319.995	-0.746796	324.995	-0.740786
320.044	-0.747841	325.044	-0.713457
320.093	-0.750407	325.093	-0.689242
