b1	1	b2	2	b3	3
343.93	60.583	343.93	70.012	345.08	-2708.1
343.94	61.505	343.94	68.271	345.09	-2396.4
343.96	62.402	343.96	66.305	345.09	-2126.5
343.97	63.272	343.97	64.125	345.1	-1892.3
343.98	64.111	343.98	61.747	345.11	-1688.7
344	64.917	344	59.188	345.11	-1511.3
344.01	65.688	344.01	56.473	345.12	-1356.4
344.02	66.422	344.02	53.626	345.12	-1220.7
344.04	67.117	344.04	50.679	345.13	-1101.5
344.05	67.773	344.05	47.661	345.13	-996.42
344.06	68.388	344.06	44.609	345.14	-903.61
344.08	68.962	344.08	41.559	345.14	-821.36
344.09	69.496	344.09	38.545	345.15	-748.27
344.1	69.99	344.1	35.606	345.16	-683.14
344.12	70.446	344.12	32.778	345.16	-624.93
344.13	70.865	344.13	30.094	345.17	-572.78
344.14	71.249	344.14	27.588	345.17	-525.93
344.16	71.601	344.16	25.288	345.18	-483.73
344.17	71.924	344.17	23.221	345.18	-445.63
344.18	72.221	344.18	21.411	345.19	-411.15
344.2	72.496	344.2	19.875	345.19	-379.86
344.21	72.753	344.21	18.63	345.2	-351.41
344.22	72.994	344.22	17.686	345.2	-325.48
344.24	73.226	344.24	17.05	345.21	-301.8
344.25	73.45	344.25	16.727	345.22	-280.13
344.26	73.673	344.26	16.714	345.22	-260.24
344.28	73.897	344.28	17.01	345.23	-241.97
344.29	74.128	344.29	17.609	345.23	-225.14
344.3	74.368	344.3	18.501	345.24	-209.6
344.32	74.622	344.32	19.676	345.24	-195.23
344.33	74.894	344.33	21.121	345.25	-181.92
344.34	75.187	344.34	22.823	345.25	-169.56
344.36	75.504	344.36	24.767	345.26	-158.07
344.37	75.848	344.37	26.936	345.27	-147.36
344.38	76.223	344.38	29.315	345.27	-137.35
344.4	76.63	344.4	31.887	345.28	-127.99
344.41	77.074	344.41	34.634	345.28	-119.22
344.42	77.554	344.42	37.539	345.29	-110.98
344.44	78.075	344.44	40.585	345.29	-103.22
344.45	78.637	344.45	43.755	345.3	-95.908
344.46	79.242	344.46	47.03	345.3	-88.997
344.48	79.891	344.48	50.394	345.31	-82.452
344.49	80.586	344.49	53.829	345.32	-76.242
344.5	81.327	344.5	57.316	345.32	-70.337
344.52	82.114	344.52	60.837	345.33	-64.709
344.53	82.949	344.53	64.373	345.33	-59.334
344.54	83.83	344.54	67.904	345.34	-54.188
344.56	84.759	344.56	71.411	345.34	-49.251
344.57	85.734	344.57	74.871	345.35	-44.502
344.58	86.755	344.58	78.263	345.35	-39.923
344.6	87.82	344.6	81.564	345.36	-35.497
344.61	88.929	344.61	84.749	345.36	-31.208
344.62	90.079	344.62	87.794	345.37	-27.042
344.64	91.269	344.64	90.671	345.38	-22.983
344.65	92.496	344.65	93.353	345.38	-19.02
344.66	93.757	344.66	95.812	345.39	-15.138
344.68	95.049	344.68	98.017	345.39	-11.326
344.69	96.369	344.69	99.941	345.4	-7.5726
344.7	97.712	344.7	101.55	345.4	-3.8661
344.72	99.075	344.72	102.82	345.41	-0.19579
344.73	100.45	344.73	103.71	345.41	3.449
344.74	101.84	344.74	104.21	345.42	7.0786
344.76	103.23	344.76	104.28	345.43	10.703
344.77	104.62	344.77	103.9	345.43	14.333
344.78	106	344.78	103.04	345.44	17.979
344.8	107.36	344.8	101.7	345.44	21.649
344.81	108.71	344.81	99.858	345.45	25.356
344.82	110.02	344.82	97.507	345.45	29.109
344.84	111.3	344.84	94.649	345.46	32.919
344.85	112.54	344.85	91.289	345.46	36.796
344.86	113.73	344.86	87.442	345.47	40.753
344.88	114.87	344.88	83.129	345.47	44.8
344.89	115.95	344.89	78.38	345.48	48.949
344.9	116.96	344.9	73.232	345.49	53.214
344.92	117.9	344.92	67.73	345.49	57.608
344.93	118.76	344.93	61.928	345.5	62.145
