b	f	mn	mna
302.694	10.4611	863.877	3562.55
302.719	10.4603	870.932	3582.66
302.743	10.4594	877.987	3602.94
302.767	10.4586	887.042	3623.44
302.792	10.4577	896.097	3644.16
302.816	10.4569	905.152	3665.1
302.841	10.4561	914.207	3686.27
302.865	10.4552	922.262	3707.63
302.89	10.4544	929.316	3729.16
302.914	10.4535	936.371	3750.87
302.939	10.4527	943.426	3772.75
302.963	10.4518	951.481	3794.82
302.988	10.451	958.536	3817.07
303.012	10.4502	966.591	3839.51
303.036	10.4493	974.646	3862.15
303.061	10.4485	980.701	3884.94
303.085	10.4476	986.755	3907.88
303.11	10.4468	990.81	3930.92
303.134	10.4459	994.865	3954.05
303.159	10.4451	999.92	3977.31
303.183	10.4443	1005.97	4000.72
303.208	10.4434	1015.03	4024.35
303.232	10.4426	1026.08	4048.25
303.256	10.4417	1037.14	4072.42
303.281	10.4409	1047.19	4096.84
303.305	10.44	1057.25	4121.5
303.33	10.4392	1066.3	4146.38
303.354	10.4384	1076.36	4171.51
303.379	10.4375	1086.41	4196.88
303.403	10.4367	1096.47	4222.5
303.428	10.4358	1105.52	4248.34
303.452	10.435	1115.58	4274.43
303.477	10.4342	1125.63	4300.76
303.501	10.4333	1135.69	4327.34
303.525	10.4325	1146.74	4354.19
303.55	10.4316	1157.8	4381.31
303.574	10.4308	1167.85	4408.68
303.599	10.43	1178.91	4436.31
303.623	10.4291	1190.96	4464.24
303.648	10.4283	1203.02	4492.47
303.672	10.4274	1214.07	4520.96
303.697	10.4266	1225.13	4549.73
303.721	10.4258	1235.18	4578.74
303.745	10.4249	1245.24	4608
303.77	10.4241	1255.29	4637.5
303.794	10.4232	1265.35	4667.25
303.819	10.4224	1273.4	4697.2
303.843	10.4216	1282.46	4727.37
303.868	10.4207	1292.51	4757.78
303.892	10.4199	1302.57	4788.44
303.917	10.419	1312.62	4819.34
303.941	10.4182	1322.68	4850.49
303.966	10.4174	1332.73	4881.89
303.99	10.4165	1341.79	4913.51
304.014	10.4157	1350.84	4945.35
304.039	10.4149	1357.9	4977.36
304.063	10.414	1364.95	5009.54
304.088	10.4132	1373.01	5041.92
304.112	10.4123	1383.06	5074.55
304.137	10.4115	1393.11	5107.42
304.161	10.4107	1405.17	5140.59
304.186	10.4098	1418.22	5174.08
304.21	10.409	1431.28	5207.89
304.234	10.4082	1443.33	5241.99
304.259	10.4073	1455.39	5276.38
304.283	10.4065	1469.44	5311.12
304.308	10.4057	1483.5	5346.2
304.332	10.4048	1497.55	5381.63
304.357	10.404	1511.61	5417.4
304.381	10.4031	1524.66	5453.49
304.406	10.4023	1537.72	5489.9
304.43	10.4015	1549.77	5526.6
304.454	10.4006	1562.83	5563.62
304.479	10.3998	1576.88	5600.99
304.503	10.399	1589.94	5638.67
304.528	10.3981	1600.99	5676.63
304.552	10.3973	1613.05	5714.88
304.577	10.3965	1626.1	5753.45
304.601	10.3956	1640.16	5792.36
304.626	10.3948	1654.21	5831.62
304.65	10.394	1668.27	5871.22
304.675	10.3931	1680.32	5911.11
304.699	10.3923	1692.38	5951.3
304.723	10.3915	1705.43	5991.81
304.748	10.3906	1716.49	6032.59
304.772	10.3898	1728.54	6073.66
304.797	10.389	1741.6	6115.06
304.821	10.3881	1755.65	6156.79
