b1	1	b2	2
345.35	1296.4	345.34	4344
345.36	1449.7	345.34	3087.3
345.36	1627.7	345.35	2006.4
345.37	1835.4	345.35	2059.7
345.37	2079.3	345.36	3330.5
345.38	2367.5	345.36	5271.2
345.38	2710	345.37	7099.7
345.39	3120	345.38	7787.9
345.39	3614.3	345.38	6320.1
345.4	4215	345.39	2894.4
345.4	4950.9	345.39	-371.24
345.41	5860.3	345.4	-1344
345.41	6993.9	345.4	214.42
345.42	8420.2	345.41	3337.9
345.42	10231	345.41	6991.3
345.43	12549	345.42	10127
345.43	15537	345.42	11275
345.43	19405	345.43	8899.2
345.44	24404	345.44	3347.9
345.44	30786	345.44	-1987.9
345.45	38672	345.45	-3728.3
345.45	47716	345.45	-1589.4
345.46	56413	345.46	2643.7
345.46	61083	345.46	6840.4
345.47	55570	345.47	8754.3
345.47	34371	345.47	6381.6
345.48	-0.0081279	345.48	69.225
345.48	-34371	345.48	-6239.3
345.49	-55570	345.49	-8600.1
345.49	-61083	345.5	-6665
345.5	-56414	345.5	-2435.5
345.5	-47716	345.51	1845.2
345.51	-38672	345.51	4051.6
345.51	-30786	345.52	2405.4
345.52	-24404	345.52	-2801.5
345.52	-19405	345.53	-8182
345.53	-15537	345.53	-10348
345.53	-12549	345.54	-8987
345.54	-10231	345.54	-5759.3
345.54	-8420.2	345.55	-2429.8
345.55	-6993.9	345.56	-499.66
345.55	-5860.3	345.56	-1131.3
345.56	-4951	345.57	-4144.3
345.56	-4215.1	345.57	-7410.5
345.57	-3614.4	345.58	-8797.3
345.57	-3120	345.58	-8076.3
345.58	-2710	345.59	-6196.1
345.58	-2367.5	345.59	-4045.2
345.59	-2079.4	345.6	-2198
345.59	-1835.4	345.6	-1142
345.6	-1627.7	345.61	-1300.9
345.6	-1449.7	345.62	-2555
345.61	-1296.4	345.62	-3943.7
345.61	-1163.8	345.63	-4515.5
345.62	-1048.5	345.63	-4173.3
345.62	-947.71	345.64	-3354
345.63	-859.34	345.64	-2483.2
345.63	-781.53	345.65	-1849.2
345.64	-712.75	345.65	-1629.8
345.64	-651.74	345.66	-1796.3
345.65	-597.44	345.66	-2053.8
345.65	-548.96	345.67	-2107.4
345.66	-505.55	345.68	-1918.9
345.66	-466.56	345.68	-1610.5
345.67	-431.45	345.69	-1298.1
345.67	-399.75	345.69	-1050.7
345.68	-371.05	345.7	-903.28
345.68	-345.02	345.7	-847.65
345.69	-321.34	345.71	-826.12
345.69	-299.77	345.71	-781.35
345.7	-280.07	345.72	-703.4
345.7	-262.04	345.72	-611.87
345.71	-245.52	345.73	-525.12
345.71	-230.34	345.74	-452.32
345.72	-216.38	345.74	-396.47
345.72	-203.51	345.75	-355.69
345.73	-191.64	345.75	-323.8
345.73	-180.65	345.76	-294.81
345.74	-170.49	345.76	-266.91
345.74	-161.06	345.77	-240.96
345.75	-152.31	345.77	-217.82
345.75	-144.17	345.78	-197.68
345.76	-136.59	345.78	-180.26
345.76	-129.52	345.79	-165.16
345.77	-122.93	345.8	-151.98
345.77	-116.77	345.8	-140.4
345.77	-111.01	345.81	-130.15
345.78	-105.61	345.81	-121.02
345.78	-100.55	345.82	-112.83
345.79	-95.801	345.82	-105.45
345.79	-91.339	345.83	-98.76
345.8	-87.143	345.83	-92.68
345.8	-83.193	345.84	-87.129
345.81	-79.472	345.84	-82.043
345.81	-75.962	345.85	-77.371
345.82	-72.65	345.86	-73.065
345.82	-69.52	345.86	-69.088
345.83	-66.562	345.87	-65.404
345.83	-63.762	345.87	-61.986
345.84	-61.11	345.88	-58.806
345.84	-58.598	345.88	-55.844
345.85	-56.214	345.89	-53.078
345.85	-53.952	345.89	-50.492
345.86	-51.802	345.9	-48.07
345.86	-49.76	345.9	-45.798
345.87	-47.816	345.91	-43.663
345.87	-45.966	345.92	-41.655
345.88	-44.204	345.92	-39.764
345.88	-42.525	345.93	-37.979
345.89	-40.923	345.93	-36.295
345.89	-39.394	345.94	-34.702
345.9	-37.933	345.94	-33.194
