b	fn2	n2	n2a	fo2	o2	o2a
333.97	9.48299	88.3566	23.682	9.49608	73.3829	21.9039
333.971	9.48295	91.3717	23.8183	9.49604	73.3914	22.0248
333.972	9.48292	93.3868	23.9571	9.49601	71.3999	22.1432
333.973	9.48288	94.4019	24.0972	9.49597	69.4085	22.2592
333.975	9.48285	94.417	24.2373	9.49594	66.417	22.3715
333.976	9.48281	94.4321	24.3774	9.4959	63.4256	22.48
333.977	9.48278	93.4471	24.5163	9.49587	61.4341	22.5861
333.978	9.48274	91.4622	24.6528	9.49583	61.4426	22.6922
333.98	9.48271	91.4773	24.7892	9.4958	62.4511	22.7995
333.981	9.48267	92.4924	24.9269	9.49576	66.4597	22.9118
333.982	9.48263	93.5075	25.0659	9.49572	67.4682	23.0254
333.983	9.4826	91.5226	25.2024	9.49569	68.4767	23.1402
333.985	9.48256	89.5376	25.3364	9.49565	68.4853	23.255
333.986	9.48253	88.5527	25.4693	9.49562	66.4938	23.3674
333.987	9.48249	88.5678	25.6021	9.49558	63.5024	23.476
333.988	9.48246	91.5829	25.7387	9.49555	62.5109	23.5834
333.99	9.48242	94.598	25.879	9.49551	61.5194	23.6896
333.991	9.48239	97.6131	26.0231	9.49548	59.528	23.7933
333.992	9.48235	100.628	26.1709	9.49544	58.5365	23.8958
333.993	9.48232	101.643	26.32	9.49541	57.545	23.997
333.995	9.48228	100.658	26.4679	9.49537	58.5536	24.0995
333.996	9.48225	100.673	26.6158	9.49534	60.5621	24.2045
333.997	9.48221	102.689	26.7662	9.4953	61.5706	24.3107
333.998	9.48218	100.704	26.9141	9.49527	62.5792	24.4182
334	9.48214	99.7187	27.0608	9.49523	61.5877	24.5245
334.001	9.48211	98.7338	27.2062	9.49519	61.5962	24.6307
334.002	9.48207	95.7489	27.348	9.49516	63.6048	24.7395
334.003	9.48203	94.7639	27.4885	9.49512	64.6133	24.8495
334.005	9.482	94.779	27.6291	9.49509	64.6218	24.9596
334.006	9.48196	95.7941	27.7709	9.49505	60.6304	25.0646
334.007	9.48193	96.8092	27.914	9.49502	56.6389	25.1647
334.008	9.48189	97.8243	28.0583	9.49498	52.6474	25.2599
334.009	9.48186	98.8394	28.2039	9.49495	48.656	25.3501
334.011	9.48182	100.854	28.352	9.49491	46.6645	25.4378
334.012	9.48179	102.87	28.5027	9.49488	44.6731	25.523
334.013	9.48175	103.885	28.6545	9.49484	41.6816	25.6045
334.014	9.48172	104.9	28.8077	9.49481	41.6901	25.686
334.016	9.48168	103.915	28.9596	9.49477	44.6987	25.7713
