b	f0005	0005	0005a	f0020	0020	0020a	f0100	0100	0100a	f0300	0300	0300a	f0500	0500	0500a	f0700	0700	0700a
331.238	9.55926	6.83211	1.94046	9.55927	-8.33504	-1.51341	9.5593	-13.4868	-0.53967	9.55933	7.62381	3.04622	9.55935	-6.05369	-0.82838	9.55942	26.7731	4.16696
331.24	9.55919	3.83059	1.97602	9.5592	-9.33218	-1.51774	9.55923	-16.4903	-0.57049	9.55926	9.60857	3.08354	9.55927	-6.0631	-0.82143	9.55934	26.7552	4.23812
331.243	9.55912	2.82906	2.00909	9.55913	-8.32932	-1.51958	9.55916	-17.4938	-0.60381	9.55918	9.59333	3.12082	9.5592	-7.07252	-0.817	9.55927	27.7373	4.31173
331.245	9.55904	3.82753	2.04464	9.55906	-8.32645	-1.52142	9.55909	-16.4974	-0.63464	9.55911	8.5781	3.15558	9.55913	-7.08193	-0.81258	9.5592	27.7193	4.38529
331.248	9.55897	3.82601	2.08019	9.55898	-9.32359	-1.52573	9.55901	-15.5009	-0.663	9.55904	6.56286	3.18533	9.55906	-8.09134	-0.81068	9.55913	26.7014	4.45632
331.25	9.5589	3.82448	2.11573	9.55891	-10.3207	-1.53252	9.55894	-13.5044	-0.6864	9.55897	5.54762	3.21255	9.55899	-7.10076	-0.80631	9.55906	24.6834	4.52233
331.253	9.55883	3.82295	2.15127	9.55884	-10.3179	-1.5393	9.55887	-12.5079	-0.70732	9.5589	4.53238	3.23725	9.55892	-7.11017	-0.80197	9.55899	22.6655	4.58333
331.255	9.55876	1.82143	2.18183	9.55877	-10.315	-1.54608	9.5588	-12.5114	-0.72824	9.55882	3.51714	3.25943	9.55884	-7.11958	-0.79765	9.55891	18.6475	4.63434
331.258	9.55869	-0.1801	2.20742	9.5587	-10.3121	-1.55285	9.55873	-12.515	-0.74918	9.55875	3.50191	3.28157	9.55877	-7.129	-0.79335	9.55884	15.6296	4.67784
331.26	9.55861	-4.18162	2.22305	9.55862	-10.3093	-1.55961	9.55865	-9.51846	-0.76267	9.55868	3.48667	3.30367	9.5587	-7.13841	-0.78908	9.55877	14.6117	4.71881
