b	fcucl2	cucl2	cucl2a	fcuso4	cuso4	cuso4a
267.302	11.852	5.65897	46.2815	11.8605	50.6825	260.811
267.327	11.8509	6.6635	46.5294	11.8595	51.7047	262.264
267.351	11.8498	7.66803	46.8018	11.8584	51.7269	263.718
267.375	11.8487	7.67256	47.0743	11.8573	51.7491	265.172
267.4	11.8477	5.67709	47.298	11.8562	52.7713	266.652
267.424	11.8466	2.68162	47.4485	11.8551	53.7935	268.156
267.449	11.8455	2.68615	47.5991	11.854	55.8157	269.71
267.473	11.8444	2.69068	47.7498	11.853	56.8379	271.289
267.498	11.8433	0.69521	47.8518	11.8519	56.86	272.868
267.522	11.8422	-1.30026	47.9049	11.8508	57.8822	274.472
267.547	11.8412	-2.29573	47.9337	11.8497	60.9044	276.151
267.571	11.8401	-2.2912	47.9626	11.8486	62.9266	277.878
267.595	11.839	-3.28667	47.9672	11.8475	64.9488	279.655
267.62	11.8379	-3.28214	47.9719	11.8465	66.971	281.482
267.644	11.8368	-3.27761	47.9767	11.8454	67.9932	283.333
267.669	11.8358	-3.27308	47.9816	11.8443	70.0154	285.235
267.693	11.8347	-3.26855	47.9866	11.8432	72.0376	287.185
267.718	11.8336	-2.26402	48.0162	11.8421	74.0598	289.185
267.742	11.8325	-2.25949	48.0459	11.8411	77.082	291.259
267.767	11.8314	-0.25496	48.1245	11.84	79.1042	293.382
267.791	11.8304	1.74957	48.2523	11.8389	80.1263	295.53
267.815	11.8293	3.7541	48.429	11.8378	80.1485	297.679
267.84	11.8282	6.75863	48.6792	11.8367	80.1707	299.828
267.864	11.8271	8.76316	48.9783	11.8357	80.1929	301.978
267.889	11.826	8.76769	49.2776	11.8346	80.2151	304.128
267.913	11.825	7.77222	49.5526	11.8335	78.2373	306.23
267.938	11.8239	8.77675	49.8521	11.8324	75.2595	308.259
267.962	11.8228	9.78128	50.1762	11.8313	72.2817	310.216
267.987	11.8217	11.7858	50.5493	11.8303	69.3039	312.099
268.011	11.8206	12.7903	50.9469	11.8292	66.3261	313.91
268.036	11.8196	12.7949	51.3447	11.8281	64.3483	315.673
268.06	11.8185	12.7994	51.7425	11.827	61.3704	317.362
268.084	11.8174	11.8039	52.1161	11.8259	58.3926	318.979
268.109	11.8163	12.8085	52.5141	11.8249	56.4148	320.548
268.133	11.8153	12.813	52.9123	11.8238	54.437	322.068
268.158	11.8142	11.8175	53.2862	11.8227	53.4592	323.564
268.182	11.8131	10.8221	53.6357	11.8216	53.4814	325.061
268.207	11.812	8.82658	53.9365	11.8205	54.5036	326.583
268.231	11.8109	7.83111	54.2128	11.8195	56.5258	328.154
268.256	11.8099	5.83564	54.4404	11.8184	57.548	329.75
268.28	11.8088	5.84017	54.6682	11.8173	57.5702	331.347
268.304	11.8077	3.8447	54.8471	11.8162	58.5924	332.968
268.329	11.8066	3.84923	55.0261	11.8152	57.6146	334.566
268.353	11.8056	2.85376	55.1808	11.8141	55.6367	336.116
268.378	11.8045	3.85829	55.3601	11.813	53.6589	337.617
268.402	11.8034	4.86282	55.5639	11.8119	53.6811	339.118
268.427	11.8023	4.86735	55.7679	11.8109	54.7033	340.645
268.451	11.8013	3.87188	55.9475	11.8098	56.7255	342.221
268.476	11.8002	2.87641	56.1027	11.8087	58.7477	343.847
268.5	11.7991	1.88094	56.2336	11.8076	62.7699	345.57
268.525	11.798	0.88547	56.3402	11.8066	65.7921	347.368
268.549	11.797	0.89	56.4469	11.8055	67.8143	349.215
268.573	11.7959	0.89453	56.5537	11.8044	69.8365	351.112
268.598	11.7948	0.89906	56.6606	11.8033	70.8587	353.034
268.622	11.7937	0.90359	56.7676	11.8023	73.8809	355.029
268.647	11.7927	2.90812	56.9237	11.8012	75.903	357.074
268.671	11.7916	3.91265	57.1043	11.8001	75.9253	359.12
268.696	11.7905	4.91718	57.3094	11.799	77.9474	361.215
268.72	11.7895	6.92171	57.5636	11.798	78.9696	363.334
268.745	11.7884	7.92624	57.8423	11.7969	79.9918	365.479
268.769	11.7873	8.93077	58.1456	11.7958	81.014	367.649
268.793	11.7862	10.9353	58.4979	11.7947	81.0362	369.82
268.818	11.7852	12.9398	58.8992	11.7937	82.0584	372.015
268.842	11.7841	14.9444	59.3495	11.7926	84.0806	374.26
268.867	11.783	14.9489	59.7999	11.7915	86.1028	376.554
268.891	11.7819	14.9534	60.2504	11.7905	86.125	378.849
268.916	11.7809	14.958	60.7011	11.7894	86.1472	381.145
268.94	11.7798	14.9625	61.1518	11.7883	85.1694	383.416
268.965	11.7787	13.967	61.5782	11.7872	84.1915	385.664
268.989	11.7777	13.9715	62.0048	11.7862	84.2137	387.912
269.014	11.7766	12.9761	62.4069	11.7851	83.2359	390.136
269.038	11.7755	11.9806	62.7848	11.784	83.2581	392.361
269.062	11.7745	10.9851	63.1383	11.783	83.2803	394.586
269.087	11.7734	9.98966	63.4675	11.7819	84.3025	396.837
269.111	11.7723	9.99419	63.7967	11.7808	85.3247	399.112
269.136	11.7712	8.99872	64.1017	11.7797	85.3469	401.388
269.16	11.7702	9.00325	64.4067	11.7787	85.3691	403.664
269.185	11.7691	10.0078	64.7363	11.7776	86.3913	405.965
269.209	11.768	10.0123	65.0661	11.7765	85.4135	408.243
269.234	11.767	11.0168	65.4203	11.7755	83.4356	410.472
269.258	11.7659	11.0214	65.7747	11.7744	82.4578	412.677
269.282	11.7648	12.0259	66.1537	11.7733	82.48	414.883
269.307	11.7638	13.0304	66.5572	11.7723	82.5022	417.089
269.331	11.7627	13.035	66.9608	11.7712	83.5244	419.321
269.356	11.7616	14.0395	67.389	11.7701	85.5466	421.601
269.38	11.7606	14.044	67.8173	11.769	88.5688	423.956
269.405	11.7595	13.0486	68.2213	11.768	90.591	426.36
269.429	11.7584	12.0531	68.6009	11.7669	91.6132	428.789
269.454	11.7574	12.0576	68.9806	11.7658	91.6354	431.219
269.478	11.7563	11.0621	69.336	11.7648	93.6576	433.698
269.503	11.7552	9.06667	69.6426	11.7637	95.6798	436.226
269.527	11.7542	8.0712	69.9249	11.7626	96.702	438.78
269.551	11.7531	7.07573	70.1828	11.7616	97.7241	441.358
269.576	11.752	7.08026	70.4408	11.7605	97.7463	443.937
269.6	11.751	8.08479	70.7234	11.7594	96.7685	446.492
269.625	11.7499	9.08932	71.0306	11.7584	94.7907	448.999
269.649	11.7488	11.0939	71.3868	11.7573	94.8129	451.506
269.674	11.7478	12.0984	71.7675	11.7562	93.8351	453.99
269.698	11.7467	13.1029	72.1728	11.7552	92.8573	456.449
269.723	11.7456	14.1074	72.6026	11.7541	91.8795	458.885
269.747	11.7446	15.112	73.057	11.753	92.9017	461.345
269.771	11.7435	16.1165	73.536	11.752	93.9239	463.831
